League ID,League Name,Country,Sport,Revenue (USD),Average Player Salary (USD),Top Team,Total Teams,Founded Year,Viewership
L122,Serie A,Germany,Basketball,810000000.0,6790000.0,Inter Milan,30,2004,65.49
L123,Serie A,Spain,Basketball,3073690000.0,13920000.0,Juventus,16,1942,60.67
L124,Ligue 1,France,Football,5813230000.0,8170000.0,Lyon,20,1961,116.1
L125,Ligue 1,France,American Football,909240000.0,7140000.0,Lyon,20,1965,184.79
L126,Serie A,Germany,Football,1576340000.0,7670000.0,AC Milan,15,1910,317.58
L127,IPL,Spain,American Football,7889510000.0,12220000.0,Kolkata Knight Riders,11,1964,485.55
L128,La Liga,USA,Football,7348300000.0,12440000.0,Barcelona,13,1929,141.65
L129,Bundesliga,Spain,Cricket,7480690000.0,7400000.0,RB Leipzig,31,1998,468.68
L130,NBA,USA,Football,3425710000.0,9370000.0,Golden State Warriors,20,1938,263.2
L131,NFL,India,American Football,7125350000.0,6920000.0,Dallas Cowboys,30,1898,46.44
L132,Bundesliga,India,American Football,6539030000.0,10990000.0,Bayern Munich,13,1931,91.63
L133,La Liga,Italy,Football,4945050000.0,6660000.0,Atletico Madrid,13,1966,476.81
L134,NBA,Spain,Basketball,5346060000.0,3640000.0,Golden State Warriors,22,1930,308.23
L135,Premier League,Spain,Cricket,5426070000.0,13500000.0,Liverpool,19,1899,93.26
L136,IPL,France,American Football,5249830000.0,2750000.0,Chennai Super Kings,22,1986,425.35
L137,NBA,England,Basketball,4428640000.0,2260000.0,Golden State Warriors,22,1985,68.14
L138,La Liga,Germany,Football,2656880000.0,9300000.0,Real Madrid,27,2017,370.96
L139,La Liga,France,Cricket,7229390000.0,11070000.0,Real Madrid,25,1912,141.98
L140,La Liga,Italy,Cricket,4835940000.0,3650000.0,Barcelona,30,1923,188.37
L141,NBA,Spain,Football,7881370000.0,14940000.0,Golden State Warriors,25,1960,113.44
L142,Bundesliga,France,Basketball,4965230000.0,13920000.0,Borussia Dortmund,20,2011,129.43
L143,Serie A,England,Basketball,6239480000.0,1540000.0,AC Milan,29,2017,464.58
L144,NFL,Italy,American Football,4071780000.0,9430000.0,Dallas Cowboys,25,1902,218.87
L145,Serie A,France,Basketball,5041970000.0,13200000.0,AC Milan,26,1953,266.04
L146,NFL,USA,Basketball,7897380000.0,14600000.0,Dallas Cowboys,23,2009,496.88
L147,Serie A,Germany,Cricket,7191230000.0,2330000.0,Inter Milan,16,1992,220.18
L148,IPL,Germany,Football,1120820000.0,13340000.0,Mumbai Indians,12,1907,227.06
L149,Premier League,Germany,American Football,5588030000.0,11550000.0,Manchester United,12,1952,331.08
L150,La Liga,France,Basketball,7107150000.0,10620000.0,Barcelona,29,2010,146.71
L151,Premier League,Spain,Basketball,5070050000.0,3690000.0,Liverpool,11,1908,283.35
L152,Ligue 1,England,Football,7222210000.0,7250000.0,Lyon,28,1933,407.26
L153,La Liga,Italy,Basketball,4820630000.0,7370000.0,Real Madrid,14,1924,271.62
L154,Premier League,France,Basketball,4385310000.0,7280000.0,Manchester City,26,1984,10.36
L155,La Liga,England,Football,5210530000.0,1220000.0,Real Madrid,10,1904,74.22
L156,NBA,England,Basketball,4963470000.0,4120000.0,Golden State Warriors,19,1897,92.26
L157,NFL,USA,American Football,7438720000.0,13770000.0,New England Patriots,29,1951,137.24
L158,NBA,USA,Football,1166320000.0,13320000.0,Los Angeles Lakers,17,1941,429.85
L159,NFL,Spain,Basketball,695140000.0,14940000.0,New England Patriots,26,1957,64.72
L160,Serie A,England,American Football,5638740000.0,13080000.0,Juventus,29,1960,196.66
L161,Premier League,Germany,American Football,2306760000.0,11130000.0,Manchester City,20,2017,187.89
L162,Serie A,Italy,Basketball,827490000.0,14920000.0,Juventus,28,1988,285.23
L163,Ligue 1,Germany,American Football,747550000.0,5440000.0,Olympique Marseille,15,1881,267.42
L164,Ligue 1,USA,Basketball,1935590000.0,5620000.0,Paris Saint-Germain,16,1884,79.21
L165,La Liga,India,Football,1037030000.0,1810000.0,Real Madrid,12,1947,20.56
L166,NBA,Germany,Football,5674670000.0,1090000.0,Golden State Warriors,17,1936,499.83
L167,Ligue 1,France,Football,6281520000.0,14810000.0,Lyon,26,2009,100.86
L168,NBA,Italy,Basketball,2952050000.0,1490000.0,Los Angeles Lakers,15,1925,130.95
L169,La Liga,Spain,Basketball,2553560000.0,5580000.0,Barcelona,23,1960,138.14
L170,NFL,India,American Football,853830000.0,6630000.0,Dallas Cowboys,19,2017,68.33
L171,IPL,England,American Football,3935390000.0,9070000.0,Chennai Super Kings,28,2020,430.28
L172,IPL,India,Cricket,4475880000.0,10970000.0,Mumbai Indians,16,2023,160.64
L173,Premier League,Spain,Football,1399070000.0,3760000.0,Manchester City,18,1941,324.56
L174,Bundesliga,England,Football,7527660000.0,5900000.0,Bayern Munich,27,1884,90.18
L175,Bundesliga,France,Basketball,5695510000.0,8840000.0,Borussia Dortmund,16,1939,203.97
L176,NBA,France,Basketball,2435570000.0,7790000.0,Los Angeles Lakers,29,2020,376.35
L177,Bundesliga,Spain,Football,1064339999.9999999,13030000.0,Borussia Dortmund,26,1911,420.09
L178,Serie A,Germany,Football,6462710000.0,13150000.0,AC Milan,10,1974,222.59
L179,Serie A,France,Football,7147520000.0,2440000.0,AC Milan,31,1909,338.09
L180,NFL,Italy,Cricket,670180000.0,2200000.0,New England Patriots,31,1900,470.59
L181,Ligue 1,India,Football,2624060000.0,6200000.0,Lyon,15,1996,137.49
L182,Serie A,Italy,Basketball,6138600000.0,11820000.0,Inter Milan,21,1971,291.27
L183,IPL,Germany,Cricket,1623100000.0,9650000.0,Mumbai Indians,29,1928,273.53
L184,NBA,India,American Football,3513490000.0,5250000.0,Miami Heat,25,1901,61.75
L185,Bundesliga,England,American Football,3570450000.0,2870000.0,Borussia Dortmund,21,1982,169.35
L186,Premier League,Germany,Cricket,4481760000.0,12330000.0,Manchester City,15,2003,377.53
L187,NBA,USA,American Football,4017470000.0,4710000.0,Golden State Warriors,15,1903,161.69
L188,Serie A,USA,Basketball,7540950000.0,13950000.0,Juventus,14,1885,472.04
L189,Ligue 1,Germany,American Football,2169770000.0,4830000.0,Olympique Marseille,29,2016,296.05
L190,Serie A,Germany,Football,4242250000.0,14710000.0,Juventus,14,2013,315.78
L191,IPL,France,American Football,7952640000.0,5730000.0,Mumbai Indians,30,1963,108.77
L192,Bundesliga,England,Football,2390830000.0,10550000.0,RB Leipzig,13,1948,430.61
L193,La Liga,Italy,American Football,5373800000.0,7070000.0,Real Madrid,12,1950,146.55
L194,Bundesliga,Italy,Cricket,6045500000.0,2009999.9999999998,RB Leipzig,18,1941,168.01
L195,Premier League,England,Cricket,1857370000.0,4410000.0,Manchester United,16,1915,292.42
L196,NFL,England,Football,4206800000.0,11090000.0,New England Patriots,16,2020,24.8
L197,Premier League,Spain,Cricket,4347700000.0,7680000.0,Manchester United,22,1965,400.49
L198,Ligue 1,India,Cricket,3190740000.0,6940000.0,Paris Saint-Germain,18,2022,497.26
L199,IPL,Spain,Cricket,6690710000.0,8920000.0,Chennai Super Kings,30,1962,493.08
L200,La Liga,USA,Basketball,2300250000.0,10620000.0,Real Madrid,27,1967,27.95
L201,Serie A,USA,American Football,609520000.0,7430000.0,Juventus,19,1925,364.38
L202,Serie A,Spain,Cricket,4965710000.0,6190000.0,Juventus,10,2020,60.82
L203,NBA,Spain,American Football,630040000.0,6780000.0,Los Angeles Lakers,29,1941,82.62
L204,Bundesliga,England,Football,3366780000.0,10530000.0,RB Leipzig,28,1895,163.14
L205,NFL,India,Basketball,5955960000.0,6140000.0,New England Patriots,25,1989,118.26
L206,Premier League,Spain,Basketball,6953340000.0,3880000.0,Manchester City,24,1988,337.08
L207,La Liga,USA,Football,7585880000.0,14460000.0,Atletico Madrid,19,2006,34.51
L208,Bundesliga,USA,Basketball,5831260000.0,7030000.0,Bayern Munich,18,1937,171.4
L209,NFL,England,American Football,635100000.0,7290000.0,Green Bay Packers,29,1965,135.1
L210,Premier League,India,American Football,1996770000.0,8010000.0,Manchester United,26,1998,69.22
L211,IPL,India,Cricket,6301690000.0,4340000.0,Mumbai Indians,27,1984,445.27
L212,NFL,Germany,Cricket,2088510000.0000002,7450000.0,Green Bay Packers,32,1921,343.48
L213,IPL,USA,American Football,4542710000.0,12230000.0,Chennai Super Kings,29,1989,242.57
L214,Serie A,Germany,Basketball,5125240000.0,2360000.0,AC Milan,32,1962,453.17
L215,Ligue 1,England,Basketball,4955840000.0,7780000.0,Lyon,16,1918,320.81
L216,Bundesliga,Italy,Cricket,5950880000.0,6460000.0,Bayern Munich,29,2011,386.36
L217,Bundesliga,India,Cricket,932290000.0,12920000.0,Borussia Dortmund,31,1881,242.56
L218,La Liga,Germany,American Football,6449970000.0,2230000.0,Real Madrid,19,1904,18.65
L219,NBA,Germany,Basketball,714640000.0,13790000.0,Los Angeles Lakers,11,1927,485.63
L220,Premier League,France,American Football,2456930000.0,8330000.0,Manchester City,32,1957,266.42
L221,La Liga,France,Cricket,4986530000.0,13720000.0,Atletico Madrid,29,1987,338.78
L222,NBA,France,American Football,2991500000.0,8320000.0,Miami Heat,28,2000,74.75
L223,Serie A,USA,Football,3455950000.0,2910000.0,Inter Milan,12,1893,19.79
L224,La Liga,USA,Football,7913880000.0,2260000.0,Barcelona,29,1896,311.92
L225,Serie A,Germany,American Football,2600680000.0,4370000.0,Inter Milan,26,1952,376.94
L226,Premier League,England,Basketball,2424480000.0,13930000.0,Manchester United,20,1920,368.21
L227,Serie A,France,Football,3716750000.0,10260000.0,AC Milan,10,1913,466.31
L228,Serie A,Spain,Basketball,5266070000.0,14510000.0,Inter Milan,32,1961,443.42
L229,Bundesliga,India,Basketball,6388100000.0,12850000.0,Bayern Munich,28,1936,217.57
L230,Premier League,England,American Football,3324490000.0,4820000.0,Manchester United,30,1923,447.45
L231,NFL,Germany,Cricket,4537990000.0,2340000.0,Dallas Cowboys,31,1901,9.39
L232,La Liga,India,Basketball,7579210000.0,3920000.0,Real Madrid,27,1937,222.11
L233,Serie A,Italy,Cricket,3568920000.0,1650000.0,Inter Milan,21,2004,343.04
L234,Bundesliga,India,American Football,7892690000.0,6110000.0,Bayern Munich,19,1969,108.62
L235,IPL,Spain,Football,5038810000.0,14380000.0,Kolkata Knight Riders,16,1911,301.46
L236,Premier League,Germany,Cricket,7352650000.0,5640000.0,Manchester United,28,1919,2.28
L237,Ligue 1,Italy,Football,3356670000.0,1060000.0,Lyon,32,1997,312.71
L238,NBA,Spain,Cricket,1609750000.0,7060000.0,Golden State Warriors,31,1904,354.84
L239,Serie A,Spain,Football,5651280000.0,8910000.0,Inter Milan,14,1965,42.09
L240,Serie A,Spain,American Football,5396860000.0,1160000.0,Inter Milan,28,1881,227.99
L241,IPL,India,Basketball,4771040000.0,5830000.0,Chennai Super Kings,15,1917,136.7
L242,NBA,Italy,Football,7435750000.0,6780000.0,Los Angeles Lakers,16,1985,499.03
L243,Serie A,India,Football,7271420000.0,6650000.0,Juventus,22,1986,425.61
L244,NBA,Italy,Cricket,3084880000.0,5640000.0,Miami Heat,19,1888,426.28
L245,La Liga,Spain,Cricket,3931460000.0,2660000.0,Real Madrid,22,2021,333.92
L246,Bundesliga,Germany,Football,6989240000.0,12200000.0,Bayern Munich,19,1964,413.23
L247,IPL,Germany,Cricket,2151300000.0,9050000.0,Chennai Super Kings,16,1931,318.77
L248,Bundesliga,Spain,Cricket,6214410000.0,13360000.0,RB Leipzig,10,1996,171.07
L249,IPL,India,Basketball,7766160000.0,8690000.0,Mumbai Indians,23,1931,114.89
L250,IPL,Italy,Football,3192010000.0,9170000.0,Mumbai Indians,18,1914,306.0
L251,NBA,England,Football,6646250000.0,6610000.0,Los Angeles Lakers,27,1944,313.75
L252,NBA,France,Cricket,5847470000.0,12490000.0,Los Angeles Lakers,25,1902,446.48
L253,Bundesliga,Spain,Cricket,2646100000.0,2380000.0,Borussia Dortmund,26,1997,115.23
L254,Premier League,Italy,Football,2454860000.0,8090000.0,Liverpool,12,2001,402.17
L255,Premier League,India,Football,3637170000.0,14260000.0,Manchester City,16,1928,278.18
L256,Serie A,Germany,Football,3923090000.0,6360000.0,Juventus,10,1897,225.38
L257,Bundesliga,France,Football,7495320000.0,4630000.0,Bayern Munich,11,2001,89.43
L258,Serie A,USA,Basketball,4812380000.0,5580000.0,Juventus,28,1958,176.01
L259,IPL,USA,Cricket,2747870000.0,3470000.0,Mumbai Indians,22,1990,160.9
L260,Serie A,Germany,Cricket,5053700000.0,8760000.0,Inter Milan,20,1910,105.22
L261,Ligue 1,India,Cricket,5585720000.0,9260000.0,Paris Saint-Germain,30,1949,220.81
L262,Serie A,Spain,Football,7764050000.0,10090000.0,AC Milan,29,1942,192.58
L263,Premier League,France,Football,2320200000.0,14070000.0,Manchester City,29,1993,290.74
L264,NBA,England,American Football,6681890000.0,10160000.0,Miami Heat,22,1956,211.83
L265,La Liga,Italy,Football,2052150000.0,4160000.0,Real Madrid,19,1898,414.41
L266,Bundesliga,Germany,American Football,3189530000.0,14220000.0,Bayern Munich,17,1939,11.07
L267,Ligue 1,Germany,Cricket,7111150000.0,12100000.0,Olympique Marseille,23,1984,489.28
L268,NFL,England,Cricket,3152920000.0,3270000.0,New England Patriots,29,1973,378.48
L269,Serie A,England,Basketball,7308870000.0,5410000.0,Juventus,14,1882,128.4
L270,IPL,England,Football,5801260000.0,14410000.0,Mumbai Indians,17,1902,82.29
L271,Serie A,France,Football,2460400000.0,13790000.0,Juventus,16,1935,403.2
L272,Premier League,Spain,American Football,7071540000.0,13750000.0,Manchester United,23,1915,477.28
L273,Serie A,Italy,Basketball,5749980000.0,1480000.0,Juventus,12,1996,106.35
L274,La Liga,Spain,American Football,7984190000.0,13740000.0,Barcelona,30,1951,367.95
L275,Serie A,India,American Football,2188590000.0,7750000.0,AC Milan,17,1973,325.47
L276,NFL,USA,American Football,2561130000.0,2860000.0,Green Bay Packers,17,1951,320.78
L277,NFL,USA,American Football,6342580000.0,3840000.0,Green Bay Packers,26,1959,248.5
L278,Bundesliga,Spain,Basketball,6234380000.0,13380000.0,Borussia Dortmund,21,1921,226.6
L279,NFL,Germany,Basketball,5747440000.0,4010000.0,Green Bay Packers,11,2001,342.35
L280,NFL,Germany,Cricket,6844000000.0,3590000.0,New England Patriots,19,2007,474.01
L281,Bundesliga,Italy,American Football,7640180000.0,12290000.0,Borussia Dortmund,24,1979,278.79
L282,Bundesliga,England,American Football,3144290000.0,11440000.0,Bayern Munich,22,1960,457.58
L283,IPL,Spain,American Football,6090130000.0,1860000.0,Chennai Super Kings,25,1988,498.63
L284,NFL,Germany,Basketball,4157290000.0,14850000.0,Dallas Cowboys,15,1901,393.28
L285,IPL,USA,American Football,4470070000.0,9010000.0,Mumbai Indians,23,1939,327.43
L286,NBA,England,Football,6368360000.0,5290000.0,Los Angeles Lakers,10,1900,248.6
L287,Ligue 1,Germany,Football,640890000.0,4190000.0000000005,Lyon,32,1950,293.05
L288,NBA,Germany,American Football,6529050000.0,12770000.0,Golden State Warriors,13,1957,17.92
L289,Premier League,England,American Football,6249800000.0,9100000.0,Manchester City,18,1969,383.53
L290,Serie A,France,American Football,3327580000.0,8230000.0,Inter Milan,22,1971,48.11
L291,La Liga,Germany,Basketball,6716610000.0,12670000.0,Barcelona,29,1932,307.96
L292,IPL,USA,Basketball,6646170000.0,7480000.0,Kolkata Knight Riders,16,1950,431.53
L293,La Liga,India,Basketball,4565360000.0,3600000.0,Real Madrid,14,2000,323.31
L294,Bundesliga,Germany,Football,3054850000.0,10040000.0,RB Leipzig,16,1919,24.07
L295,NFL,India,Basketball,925690000.0,9670000.0,New England Patriots,11,2015,376.37
L296,NBA,England,Basketball,5201500000.0,5890000.0,Golden State Warriors,11,1943,122.07
L297,IPL,Germany,Football,6664020000.0,1150000.0,Kolkata Knight Riders,29,1900,387.1
L298,IPL,Germany,American Football,2288040000.0,10530000.0,Mumbai Indians,11,1973,404.49
L299,Ligue 1,England,Football,2734450000.0,10260000.0,Paris Saint-Germain,19,1998,263.03
L300,La Liga,Italy,Basketball,3991650000.0,2750000.0,Barcelona,20,1996,455.12
L301,IPL,Italy,Cricket,7997000000.0,5670000.0,Chennai Super Kings,20,1947,359.82
L302,Bundesliga,India,American Football,2498220000.0,1160000.0,RB Leipzig,28,1941,371.03
L303,Ligue 1,England,Cricket,6685600000.0,8640000.0,Paris Saint-Germain,13,1881,58.17
L304,Premier League,India,Basketball,952180000.0,6120000.0,Manchester City,15,1969,265.77
L305,Premier League,India,Football,7354040000.0,7960000.0,Liverpool,15,1973,393.24
L306,IPL,England,Basketball,2787690000.0,12200000.0,Kolkata Knight Riders,13,1911,226.06
L307,La Liga,France,Football,4905440000.0,9170000.0,Real Madrid,11,2020,93.0
