Year,G,AG,ARI,ATH,IAB,ATL,AC,BBS,BEG,BAL,BLA,BBB,BOS,BRG,CAG,CHC,COG,CHW,CIN,CT,CBN,CBE,CCU,CEL,CG,CLE,CHT,CRS,CLS,CTS,CTG,COL,CBB,COB,COT,CSE,CSW,DM,DS,DTS,DET,DW,HBG,HIL,HG,HOU,ABC,ID,IA,IC,JRC,KCM,KCR,LRG,LAA,LAD,LVB,MRS,MIA,MB,MIL,MIN,MRM,MGS,NBY,NYC,NLG,NYM,NYY,NWB,ND,NE,NS,PBG,PHI,PS,PTG,TC,PK,PIT,CUP,SDP,SFG,SEA,STL,SLS,SL2,HAR,TBR,TEX,TT,TOR,SEN,WSN,WAP,WMP
2014,162,,64,88,,79,,,,96,,,71,,,73,,73,76,,,,,,,85,,,,,,66,,,,,,,,,90,,,,,70,,,,,,,89,,98,94,,,77,,82,70,,,,,,79,84,,,,,,73,,,,,88,,77,88,87,90,,,,77,67,,83,,96,,
2013,163,,81,96,,96,,,,85,,,97,,,66,,63,90,,,,,,,92,,,,,,74,,,,,,,,,93,,,,,51,,,,,,,86,,78,92,,,62,,74,66,,,,,,74,85,,,,,,73,,,,,94,,76,76,71,97,,,,92,91,,74,,86,,
2012,162,,81,94,,94,,,,93,,,69,,,61,,85,97,,,,,,,68,,,,,,64,,,,,,,,,88,,,,,55,,,,,,,72,,89,86,,,69,,83,66,,,,,,74,95,,,,,,81,,,,,79,,76,94,75,88,,,,90,93,,73,,98,,
2011,162,,94,74,,89,,,,69,,,90,,,71,,79,79,,,,,,,80,,,,,,73,,,,,,,,,95,,,,,56,,,,,,,71,,86,82,,,72,,96,63,,,,,,77,97,,,,,,102,,,,,72,,71,86,67,90,,,,91,96,,81,,80,,
2010,162,,65,81,,91,,,,66,,,89,,,75,,88,91,,,,,,,69,,,,,,83,,,,,,,,,81,,,,,76,,,,,,,67,,80,80,,,80,,77,94,,,,,,79,95,,,,,,97,,,,,57,,90,92,61,86,,,,96,90,,85,,69,,
2009,163,,70,75,,86,,,,64,,,95,,,83,,79,78,,,,,,,65,,,,,,92,,,,,,,,,86,,,,,74,,,,,,,65,,97,95,,,87,,80,87,,,,,,70,103,,,,,,93,,,,,62,,75,88,85,91,,,,84,87,,75,,59,,
2008,163,,82,75,,72,,,,68,,,95,,,97,,89,74,,,,,,,81,,,,,,74,,,,,,,,,74,,,,,86,,,,,,,75,,100,84,,,84,,90,88,,,,,,89,89,,,,,,92,,,,,67,,63,72,61,86,,,,97,79,,86,,59,,
2007,163,,90,76,,84,,,,69,,,96,,,85,,72,72,,,,,,,96,,,,,,90,,,,,,,,,88,,,,,73,,,,,,,69,,94,82,,,71,,83,79,,,,,,88,94,,,,,,89,,,,,68,,89,71,88,78,,,,66,75,,83,,73,,
2006,162,,76,93,,79,,,,70,,,86,,,66,,90,80,,,,,,,78,,,,,,76,,,,,,,,,95,,,,,82,,,,,,,62,,89,88,,,78,,75,96,,,,,,97,97,,,,,,85,,,,,67,,88,76,78,83,,,,61,80,,87,,71,,
2005,162,,77,88,,90,,,,74,,,95,,,79,,99,73,,,,,,,93,,,,,,67,,,,,,,,,71,,,,,89,,,,,,,56,,95,71,,,83,,81,83,,,,,,83,95,,,,,,88,,,,,67,,82,75,69,100,,,,67,79,,80,,81,,
2004,162,,51,91,,96,,,,78,,,98,,,89,,83,76,,,,,,,80,,,,,,68,,,,,,,,,72,,,,,92,,,,,,,58,,92,93,,,83,,67,92,,,,,,71,101,,,,,,86,,,,,72,,87,91,63,105,,,,70,89,,67,,67,,
2003,162,,84,96,,101,,,,71,,,95,,,88,,86,69,,,,,,,68,,,,,,74,,,,,,,,,43,,,,,87,,,,,,,83,,77,85,,,91,,68,90,,,,,,66,101,,,,,,86,,,,,75,,64,100,93,85,,,,63,71,,86,,83,,
2002,162,,98,103,,101,,,,67,,,93,,,67,,81,78,,,,,,,74,,,,,,73,,,,,,,,,55,,,,,84,,,,,,,62,,99,92,,,79,,56,94,,,,,,75,103,,,,,,80,,,,,72,,66,95,93,97,,,,55,72,,78,,83,,
2001,162,,92,102,,88,,,,63,,,82,,,88,,83,66,,,,,,,91,,,,,,73,,,,,,,,,66,,,,,93,,,,,,,65,,75,86,,,76,,68,85,,,,,,82,95,,,,,,86,,,,,62,,79,90,116,93,,,,62,73,,80,,68,,
2000,162,,85,91,,95,,,,74,,,85,,,65,,95,85,,,,,,,90,,,,,,82,,,,,,,,,79,,,,,72,,,,,,,77,,82,86,,,79,,73,69,,,,,,94,87,,,,,,65,,,,,69,,76,97,91,95,,,,69,71,,83,,67,,
1999,163,,100,87,,103,,,,78,,,94,,,67,,75,96,,,,,,,97,,,,,,72,,,,,,,,,69,,,,,97,,,,,,,64,,70,77,,,64,,74,63,,,,,,97,98,,,,,,77,,,,,78,,74,86,79,75,,,,69,95,,84,,68,,
1998,163,,65,74,,106,,,,79,,,92,,,90,,80,77,,,,,,,89,,,,,,77,,,,,,,,,65,,,,,102,,,,,,,72,,85,83,,,54,,74,70,,,,,,88,114,,,,,,75,,,,,69,,98,89,76,83,,,,63,88,,88,,65,,
1997,162,,,65,,101,,,,98,,,78,,,68,,80,76,,,,,,,86,,,,,,83,,,,,,,,,79,,,,,84,,,,,,,67,,84,88,,,92,,78,68,,,,,,88,96,,,,,,68,,,,,79,,76,90,90,73,,,,,77,,76,,78,,
1996,162,,,78,,96,,,,88,,,85,,,76,,85,81,,,,,,,99,,,,,,83,,,,,,,,,53,,,,,82,,,,,,,75,,70,90,,,80,,80,78,,,,,,71,92,,,,,,67,,,,,73,,91,68,85,88,,,,,90,,74,,88,,
1995,145,,,67,,90,,,,71,,,86,,,73,,68,85,,,,,,,100,,,,,,77,,,,,,,,,60,,,,,76,,,,,,,70,,78,78,,,67,,65,56,,,,,,69,79,,,,,,69,,,,,58,,70,67,79,62,,,,,74,,56,,66,,
1994,117,,,51,,68,,,,63,,,54,,,49,,67,66,,,,,,,66,,,,,,53,,,,,,,,,53,,,,,66,,,,,,,64,,47,58,,,51,,53,53,,,,,,55,70,,,,,,54,,,,,53,,47,55,49,53,,,,,52,,55,,74,,
1993,162,,,68,,104,,,,85,,,80,,,84,,94,73,,,,,,,76,,,,,,67,,,,,,,,,85,,,,,85,,,,,,,84,,71,81,,,64,,69,71,,,,,,59,88,,,,,,97,,,,,75,,61,103,82,87,,,,,86,,95,,94,,
1992,162,,,96,,98,,,,89,,,73,,,78,,86,90,,,,,,,76,,,,,,,,,,,,,,,75,,,,,81,,,,,,,72,,72,63,,,,,92,90,,,,,,72,76,,,,,,70,,,,,96,,82,72,64,83,,,,,77,,96,,87,,
1991,162,,,84,,94,,,,67,,,84,,,77,,87,74,,,,,,,57,,,,,,,,,,,,,,,84,,,,,65,,,,,,,82,,81,93,,,,,83,95,,,,,,77,71,,,,,,78,,,,,98,,84,75,83,84,,,,,85,,91,,71,,
1990,162,,,103,,65,,,,76,,,88,,,77,,94,91,,,,,,,77,,,,,,,,,,,,,,,79,,,,,75,,,,,,,75,,80,86,,,,,74,74,,,,,,91,67,,,,,,77,,,,,95,,75,85,77,70,,,,,83,,86,,85,,
1989,162,,,99,,63,,,,87,,,83,,,93,,69,75,,,,,,,73,,,,,,,,,,,,,,,59,,,,,86,,,,,,,92,,91,77,,,,,81,80,,,,,,87,74,,,,,,67,,,,,74,,89,92,73,86,,,,,83,,89,,81,,
1988,162,,,104,,54,,,,54,,,89,,,77,,71,87,,,,,,,78,,,,,,,,,,,,,,,88,,,,,82,,,,,,,84,,75,94,,,,,87,91,,,,,,100,85,,,,,,65,,,,,85,,83,83,68,76,,,,,70,,87,,81,,
1987,162,,,81,,69,,,,67,,,78,,,76,,77,84,,,,,,,61,,,,,,,,,,,,,,,98,,,,,76,,,,,,,83,,75,73,,,,,91,85,,,,,,92,89,,,,,,80,,,,,80,,65,90,78,95,,,,,75,,96,,91,,
1986,162,,,76,,72,,,,73,,,95,,,70,,72,86,,,,,,,84,,,,,,,,,,,,,,,87,,,,,96,,,,,,,76,,92,73,,,,,77,71,,,,,,108,90,,,,,,86,,,,,64,,74,83,67,79,,,,,87,,86,,78,,
1985,162,,,77,,66,,,,83,,,81,,,77,,85,89,,,,,,,60,,,,,,,,,,,,,,,84,,,,,83,,,,,,,91,,90,95,,,,,71,77,,,,,,98,97,,,,,,75,,,,,57,,83,62,74,101,,,,,62,,99,,84,,
1984,162,,,77,,80,,,,85,,,86,,,96,,74,70,,,,,,,75,,,,,,,,,,,,,,,104,,,,,80,,,,,,,84,,81,79,,,,,67,81,,,,,,90,87,,,,,,81,,,,,75,,92,66,74,84,,,,,69,,89,,78,,
1983,162,,,74,,88,,,,98,,,78,,,71,,99,74,,,,,,,70,,,,,,,,,,,,,,,92,,,,,85,,,,,,,79,,70,91,,,,,87,70,,,,,,68,91,,,,,,90,,,,,84,,81,79,60,79,,,,,77,,89,,82,,
1982,162,,,68,,89,,,,94,,,89,,,73,,87,61,,,,,,,78,,,,,,,,,,,,,,,83,,,,,77,,,,,,,90,,93,88,,,,,95,60,,,,,,65,79,,,,,,89,,,,,84,,81,87,76,92,,,,,64,,78,,86,,
1981,111,,,64,,50,,,,59,,,59,,,38,,54,66,,,,,,,52,,,,,,,,,,,,,,,60,,,,,61,,,,,,,50,,51,63,,,,,62,41,,,,,,41,59,,,,,,59,,,,,46,,41,56,44,59,,,,,57,,37,,60,,
1980,163,,,83,,81,,,,100,,,83,,,64,,70,89,,,,,,,79,,,,,,,,,,,,,,,84,,,,,93,,,,,,,97,,65,92,,,,,86,77,,,,,,67,103,,,,,,91,,,,,83,,73,75,59,74,,,,,76,,67,,90,,
1979,162,,,54,,66,,,,102,,,91,,,80,,73,90,,,,,,,81,,,,,,,,,,,,,,,85,,,,,89,,,,,,,85,,88,79,,,,,95,82,,,,,,63,89,,,,,,84,,,,,98,,68,71,67,86,,,,,83,,53,,95,,
1978,163,,,69,,69,,,,90,,,99,,,79,,71,92,,,,,,,69,,,,,,,,,,,,,,,86,,,,,74,,,,,,,92,,87,95,,,,,93,73,,,,,,66,100,,,,,,90,,,,,88,,84,89,56,69,,,,,87,,59,,76,,
1977,162,,,63,,61,,,,97,,,97,,,81,,90,88,,,,,,,71,,,,,,,,,,,,,,,74,,,,,81,,,,,,,102,,74,98,,,,,67,84,,,,,,64,100,,,,,,101,,,,,96,,69,75,64,83,,,,,94,,54,,75,,
1976,162,,,87,,70,,,,88,,,83,,,75,,64,102,,,,,,,81,,,,,,,,,,,,,,,74,,,,,80,,,,,,,90,,76,92,,,,,66,85,,,,,,86,97,,,,,,101,,,,,92,,73,74,,72,,,,,76,,,,55,,
1975,162,,,98,,67,,,,90,,,95,,,75,,75,108,,,,,,,79,,,,,,,,,,,,,,,57,,,,,64,,,,,,,91,,72,88,,,,,68,76,,,,,,82,83,,,,,,86,,,,,92,,71,80,,82,,,,,79,,,,75,,
1974,162,,,90,,88,,,,91,,,84,,,66,,80,98,,,,,,,77,,,,,,,,,,,,,,,72,,,,,81,,,,,,,77,,68,102,,,,,76,82,,,,,,71,89,,,,,,80,,,,,88,,60,72,,86,,,,,84,,,,79,,
1973,162,,,94,,76,,,,97,,,89,,,77,,77,99,,,,,,,71,,,,,,,,,,,,,,,85,,,,,82,,,,,,,88,,79,95,,,,,74,81,,,,,,82,80,,,,,,71,,,,,80,,60,88,,81,,,,,57,,,,79,,
1972,156,,,93,,70,,,,80,,,85,,,85,,87,95,,,,,,,72,,,,,,,,,,,,,,,86,,,,,84,,,,,,,76,,75,85,,,,,65,77,,,,,,83,79,,,,,,59,,,,,96,,58,69,,75,,,,,54,,,,70,,
1971,162,,,101,,82,,,,101,,,85,,,83,,79,79,,,,,,,60,,,,,,,,,,,,,,,91,,,,,79,,,,,,,85,,76,89,,,,,69,74,,,,,,83,82,,,,,,67,,,,,97,,61,90,,90,,,,,63,,,,71,,
1970,162,,,89,,76,,,,108,,,87,,,84,,56,102,,,,,,,76,,,,,,,,,,,,,,,79,,,,,79,,,,,,,65,,86,87,,,,,65,98,,,,,,83,93,,,,,,73,,,,,89,,63,86,,76,,,,,70,,,,73,,
1969,162,,,88,,93,,,,109,,,87,,,92,,68,89,,,,,,,62,,,,,,,,,,,,,,,90,,,,,81,,,,,,,69,,71,85,,,,,64,97,,,,,,100,80,,,,,,63,,,,,88,,52,90,,87,,,,,86,,,,52,,
1968,162,,,82,,81,,,,91,,,86,,,84,,67,83,,,,,,,86,,,,,,,,,,,,,,,103,,,,,72,,,,,,,,,67,76,,,,,,79,,,,,,73,83,,,,,,76,,,,,80,,,88,,97,,,,,65,,,,,,
1967,162,,,62,,77,,,,76,,,92,,,87,,89,87,,,,,,,75,,,,,,,,,,,,,,,91,,,,,69,,,,,,,,,84,73,,,,,,91,,,,,,61,72,,,,,,82,,,,,81,,,91,,101,,,,,76,,,,,,
1966,162,,,74,,85,,,,97,,,72,,,59,,83,76,,,,,,,81,,,,,,,,,,,,,,,88,,,,,72,,,,,,,,,80,95,,,,,,89,,,,,,66,70,,,,,,87,,,,,92,,,93,,83,,,,,71,,,,,,
1965,162,,,59,,86,,,,94,,,62,,,72,,95,89,,,,,,,87,,,,,,,,,,,,,,,89,,,,,65,,,,,,,,,75,97,,,,,,102,,,,,,50,77,,,,,,85,,,,,90,,,95,,80,,,,,70,,,,,,
1964,162,,,57,,88,,,,97,,,72,,,76,,98,92,,,,,,,79,,,,,,,,,,,,,,,85,,,,,66,,,,,,,,,82,80,,,,,,79,,,,,,53,99,,,,,,92,,,,,80,,,90,,93,,,,,62,,,,,,
1963,162,,,73,,84,,,,86,,,76,,,82,,94,86,,,,,,,79,,,,,,,,,,,,,,,79,,,,,66,,,,,,,,,70,99,,,,,,91,,,,,,51,104,,,,,,87,,,,,74,,,88,,93,,,,,56,,,,,,
1962,165,,,72,,86,,,,77,,,76,,,59,,85,98,,,,,,,80,,,,,,,,,,,,,,,85,,,,,64,,,,,,,,,86,102,,,,,,91,,,,,,40,96,,,,,,81,,,,,93,,,103,,84,,,,,60,,,,,,
1961,162,,,61,,83,,,,95,,,76,,,64,,86,93,,,,,,,78,,,,,,,,,,,,,,,101,,,,,,,,,,,,,,70,89,,,,,,70,,,,,,,109,,,,,,47,,,,,75,,,85,,80,,,,,61,,,,,,
1960,154,,,58,,88,,,,89,,,65,,,60,,87,67,,,,,,,76,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,,82,,,,,,73,,,,,,,97,,,,,,59,,,,,95,,,79,,86,,,,,,,,,,,
1959,156,,,66,,86,,,,74,,,75,,,74,,94,74,,,,,,,89,,,,,,,,,,,,,,,76,,,,,,,,,,,,,,,88,,,,,,63,,,,,,,79,,,,,,64,,,,,78,,,83,,71,,,,,,,,,,,
1958,154,,,73,,92,,,,74,,,79,,,72,,82,76,,,,,,,77,,,,,,,,,,,,,,,77,,,,,,,,,,,,,,,71,,,,,,61,,,,,,,92,,,,,,69,,,,,84,,,80,,72,,,,,,,,,,,
1957,154,,,59,,95,,,,76,,,82,,,62,,90,80,,,,,,,76,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,84,,,,,,55,,,,,,,98,,,,,,77,,,,,62,,,69,,87,,,,,,,,,,,
1956,154,,,52,,92,,,,69,,,84,,,60,,85,91,,,,,,,88,,,,,,,,,,,,,,,82,,,,,,,,,,,,,,,93,,,,,,59,,,,,,,97,,,,,,71,,,,,66,,,67,,76,,,,,,,,,,,
1955,154,,,63,,85,,,,57,,,84,,,72,,91,75,,,,,,,93,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,98,,,,,,53,,,,,,,96,,,,,,77,,,,,60,,,80,,68,,,,,,,,,,,
1954,154,,,51,,89,,,,54,,,69,,,64,,94,74,,,,,,,111,,,,,,,,,,,,,,,68,,,,,,,,,,,,,,,92,,,,,,66,,,,,,,103,,,,,,75,,,,,53,,,97,,72,,,,,,,,,,,
1953,154,,,59,,92,,,,54,,,84,,,65,,89,68,,,,,,,92,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,105,,,,,,76,,,,,,,99,,,,,,83,,,,,50,,,70,,83,,,,,,,,,,,
1952,154,,,79,,64,,,,64,,,76,,,77,,81,69,,,,,,,93,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,96,,,,,,78,,,,,,,95,,,,,,87,,,,,42,,,92,,88,,,,,,,,,,,
1951,157,,,70,,76,,,,52,,,87,,,62,,81,68,,,,,,,93,,,,,,,,,,,,,,,73,,,,,,,,,,,,,,,97,,,,,,62,,,,,,,98,,,,,,73,,,,,64,,,98,,81,,,,,,,,,,,
1950,154,,,52,,83,,,,58,,,94,,,64,,60,66,,,,,,,92,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,89,,,,,,67,,,,,,,98,,,,,,91,,,,,57,,,86,,78,,,,,,,,,,,
1949,154,,,81,,75,,,,53,,,96,,,61,,63,62,,,,,,,89,,,,,,,,,,,,,,,87,,,,,,,,,,,,,,,97,,,,,,50,,,,,,,97,,,,,,81,,,,,71,,,73,,96,,,,,,,,,,,
1948,155,,,84,,91,,,49,59,,63,96,,38,64,,51,64,,,48,,,,97,,,,,,,,,,,,,,,78,,,,42,,,,,40,,67,,,,84,,43,,,,56,,,9,19,,,94,,,31,,,66,30,,,,83,,,78,,85,,,,,,,,,,,
1947,154,,,78,,86,,,41,59,,50,83,,29,69,,70,73,,,57,,,,80,,,,,,,,,,,,,,,85,,,,35,,,,,36,,62,,,,94,,44,,,,64,,,12,47,,,97,,,51,,,62,28,,,,62,,,81,,89,,,,,,,,,,,
1946,156,,,49,,81,,,38,66,,46,104,,39,82,,74,67,,,40,,,,68,,,,,,,,,,,,,,,92,,,,39,,,,,35,,60,,,,96,,44,,,,76,,,11,37,,,87,,,50,,,69,31,,,,63,,,61,,98,,,,,,,,,,,
1945,154,,,52,,67,,,36,81,,47,71,,46,98,,71,61,,,63,,,,73,,,,,,,,,,,,,,,88,,,,41,,,,,39,,52,,,,87,,20,,,,87,,,11,15,,,81,,,27,,,46,25,,,,82,,,78,,95,,,,,,,,,,,
1944,154,,,72,,65,,,34,89,,47,77,,33,75,,71,89,,,46,,,,72,,,,,,,,,,,,,,,88,,,,48,,,,,49,,39,,,,63,,49,,,,64,,,7,31,,,83,,,27,,,61,31,,,,90,,,67,,105,,,,,,,,,,,
1943,154,,,49,,68,,,18,72,,45,68,,37,74,,82,87,,,39,,,,82,,,,,,,,,,,,,,,78,,,,53,,,,,31,,44,,,,81,,34,,,,84,,,4,19,,,98,,,26,,,64,21,,,,80,,,55,,105,,,8,,,,,,,,
1942,154,,,55,,59,,,36,82,,27,93,,7,68,,66,76,,,39,,,,75,,,,,,,,,,,,,,,73,,,,47,,,,,,7,27,,,,104,,21,,,,62,,,10,9,,,103,,,28,,,42,26,,,,66,,,85,,106,,,,,,,,,,,
1941,154,,,64,,62,,,44,70,,28,84,,16,70,,77,88,,,,,,,75,,,,,,,,,,,,,,,75,,,,50,,,,,,13,31,,,,100,,23,,,,70,,,15,21,,,101,,,30,,,43,15,,,,81,,,74,,97,,,18,,,,,,,,
1940,154,,,54,,65,,,32,67,,17,82,,22,75,,82,100,,,,,,,89,,,,,,,,,,,,,,,90,,,,36,,,,,,21,36,,,,88,,36,,,,64,,,19,13,,,88,,,28,,,50,24,,6,,78,,,72,,84,,,25,,,,,,,,
1939,154,,,55,6,63,,,21,43,,,89,,40,84,,85,97,,,,,,,87,,,,,,,,,,,,,,,81,,,,36,,,,,,20,46,,,,84,,19,,,,65,,,19,7,,,106,,,32,,,45,24,,4,,68,,,77,,92,,,15,,,,,,,,
1938,154,,,53,32,77,,,26,55,,13,88,,41,89,,65,82,,,,,,,86,,,,,,,,,,,,,,,84,,,,41,,,,,,14,45,,,,69,,39,,,,75,,,11,,,,99,,,23,,,45,41,,28,,86,,,83,,71,,,17,,,,,2,,,
1937,154,,,54,,79,,,23,46,,17,80,,36,93,,86,56,35,,,,,,83,,,,,,,,,,,,,,15,89,,,,45,,,,17,,,52,,,,62,,15,,,,73,,,22,,,,102,,,36,,,61,29,,18,,86,,,95,,81,,5,,,,,,,,,
1936,154,,,53,,71,,,29,57,,,74,,,87,,81,74,,,,,,,80,,,,,,,,,,,,,,,83,,,,27,,,,,,,,,,,67,,,,,,82,,,21,22,,,102,,,27,,,54,32,,48,,84,,,92,,87,,,,,,,,,,,
1935,154,,,58,,38,,,29,65,,,78,,24,100,,74,68,,,,,,,82,,,,,,,,,,,,,,,93,,,,26,,,,,,,,,,,70,,,,,,67,,,,31,,,89,,18,32,,,64,37,,51,,86,,,91,,96,,,,,,,,,,,
1934,154,,,68,,78,,3,18,67,,,76,,28,86,,53,52,,,,,,,85,,3,,,,,,,,,,,,,101,,,,,,,,,,,,,,,71,,,,,,66,,,,,,,94,,17,,,5,56,39,,47,,74,,,93,,95,,,,,,,,,,,
1933,154,3,,79,,83,,13,19,55,,,63,,41,86,,67,58,,,,,,0,75,,,,,,,15,,,,,,,,75,,,,14,,,17,,,,,,,,65,,,,,,99,,,,,,,91,,,,,,60,,,41,,87,,,91,,82,,,,,,,,,,,
1932,154,,,94,6,77,,29,24,63,,10,43,,34,90,,49,60,,,,,,,87,,,5,,,,,,3,,,,,,76,26,,11,24,,,18,,,,,,5,,81,12,23,,,,93,34,23,,,,,107,0,,,,,78,,,,,86,10,,72,,72,,,,,,,,,,17,
1931,154,,,107,,64,,,,63,,,62,,6,84,,56,58,,,,23,,,78,,,,,,,,,,,,,25,,61,,,,,,,30,,,,,,,,79,24,,,,,92,,,,,,,94,,,,,,66,,,,,75,,,87,,101,37,,,,,,,,,,
1930,154,,,102,,70,,,26,64,,46,52,,53,90,,62,59,,,,,,,81,,,,,,,,,,,25,,52,,75,,,,,,,,,,,40,,,,86,16,30,,,,94,,,,,,,86,,,,,,52,,,,,80,,,87,,92,69,,,,,,,,,,
1929,154,,,104,,56,21,55,,79,,33,58,,51,98,,59,66,,,,,,,81,,,,,,,,,,15,17,,39,,70,,,43,32,,,,,,,63,,,,70,,21,,,,71,,,,,40,,88,,,,,,71,,,,,88,,,84,,78,56,,,,,,,,,,
1928,154,,,98,,50,18,19,,82,,46,57,,55,91,,72,78,,,,,,,62,,,,,20,,,,,6,13,,53,,68,,,,,,,,,,,50,,,,77,,33,,,,75,,,,,9,,101,,,,,,43,,2,,,85,,,93,,95,63,,,,,,,,,,
1927,154,,,91,,60,55,34,,59,,53,51,11,61,85,,70,75,,,,,,,66,13,,,,,,,,,31,23,,52,,82,,38,38,,,,,,,,55,,,,65,,25,,,,85,,,,,10,,110,,,,,,51,,,,,94,,,92,,92,62,,,,,,,,,,
1926,154,,,83,,66,43,22,,62,,,46,11,57,82,,81,87,,,,,8,,88,,,,,,,,,,29,19,6,52,,79,,27,53,,,40,,,,,60,,,,71,,,,,,81,,,,,22,,91,,,,1,,58,,,,,84,,,74,,89,61,,,,,,,,,,
1925,154,,,88,,70,36,33,,82,,27,47,14,57,68,,79,80,,,,,,,70,,,,,,,,,,18,20,,56,,81,,48,53,,,17,,,,,59,,,,68,,34,,,,96,,,,,7,,69,,,,,,68,,,,,95,,,86,,77,59,,,,,,,,,,10
1924,154,,,71,,53,35,38,,74,,37,67,15,52,81,,66,83,,15,,,,,67,,,,,,,,,,15,18,,35,,86,,30,47,,,5,,,,,57,,,,92,,24,,,,92,,,,,35,,89,,,,,,55,,,,,90,,,93,,65,43,,,,,,,,,,21
1923,154,,,69,,54,23,19,,74,,,61,16,39,83,,69,91,,,,,,,82,,,,,,,,,,22,24,,39,,83,,,37,,,44,,,,,54,,,,76,,,,11,,75,,,,,17,,98,,,,,,50,,,,,87,,,95,,79,29,,,,,10,,,,,
1922,154,,,65,,53,,,,93,,,61,,37,80,,77,86,,,,,,,78,,,,15,,,,,,,18,,42,,79,,,,,,50,,,,,47,,,,76,,,,,,69,,,,,,,94,,,,,,57,,,,14,85,,,93,,85,26,,,,,,,,,,
1921,154,,,53,,79,,,,81,,,75,,44,64,10,62,70,,,,,,,94,,,,,,,,30,,,29,,30,,71,,,,,,37,,,,,54,,,,77,,,,,,80,,,,,,,98,,,,,,51,,,,,90,,,94,,87,43,,,,,,,,,,
